question,option_0,option_1,option_2,option_3,answer,remark
"在为一家公司开发软件时，供应商收到几个新的客户请求，这些请求都包含在系统中，软件按时交付，但因为高级管理人员认为软件不符合要求而拒收该软件。 若要避免这个问题，供应商的项目经理应该事先做什么？While developing software for a accompany, provider receives several new customer requests that incorporated into the system. The software is delivered on time but is rejected because a senior manager believes it does not align with the requirements. What should the provider's project manager have done to avoid this?",审查需求跟踪矩阵 Reviewed the requirements traceability matrix.,请求高级管理层参与客户高级管理层一起讨论需求 Requested the involvement of their senior management to discuss the requirements with the customer’s senior management.,执行实施整体变更控制过程，并更新项目文件和基准 Conducted the Perform Integrated Change Control process and updated the project documents and baseline.,核实项目范围 Validated the project scope.,C,PMBOK（6）P113-4.6实施整体变更控制。“不符合要求”，说明验收标准与客户请求不匹配，变更管理出现疏漏，基准没有更新。 选项A：需求跟踪矩阵记录着需求的状态，是评估变更请求的输入，不属于范围基准。 选项B：应该由项目经理和项目团队成员共同评估。 选项D：注意题干，“事先应该做什么”，而不是“正在做什么”，所以不选确认范围。
"项目经理加入一个大型全球项目，其中包含几位来自不同国家的人员，在规划阶段即将结束时，项目经理为项目启动大会准备了一份会议议程，其中一个议程事项是获得几个关键项目要素的一致性，在项目启动大会之前，项目经理应该怎么做？A Project manager join a large global project with resources form several from different countries, near the end of the planning phase, the project manager prepares an agenda for the project start off meeting , one agenda item alignment on several key project elements, what should the project manager do before the kick-off meeting?",制定相关方登记册，概述每位相关方的责任 Develop A stakeholder register outlining the responsibilities of each of each project stakeholder,详细审查项目目标，以确保所有参与者都了解项目目标 Conduct a detailed Review of project objectives to ensure that all participants are aware of project goals,"协同制定项目章程，并明确定义项目的进度计划、范围和预算 Work collaboratively to develop a project charter, and clearly define the project’s schedule, scope and budget",审查最终的工作分解结构(WBS)，以便所有参与者都可以在会议中分配到任务 Review the finalized work breakdown structure (WBS) so all participants leave the meeting with assigned tasks,B,"PMBOK(6)P122-4.2.2.4 开工会议 题干明确说”规划阶段即将结束“，需要”启动大会""。项目启动大会就是要传达项目目标，获得相关方的承诺的，因此B选项最合适。 其他选项：规划结束后开的是Kick off会议，因此非启动阶段，AC都是启动阶段做的事，D的后半句不对，相关方的任务不是在会议中分配的。"
项目经理收到项目章程，并安排召开一次初步项目启动大会。然而，参加这次会议的公司资源很少。若要避免这个问题，项目经理应该考虑哪一点？A project manager receives a project charter and schedules an initial initiating meeting. However the meeting is poorly attended by company resources. What should the project manager have considered to avoid this?,组织过程资产 Organizational process assets.,事业环境因素 Business environment factor.,协议 Agreements.,沟通管理计划 Communications management plan.,B,PMBOK（6）P78-4.1.1.3事业环境因素。情景中最大的可能性是组织资源有限，属于事业环境因素。因为是在收到项目章程后的启动大会，还没有进入到规划阶段，此时还没有沟通管理计划，排除D选项。 选项A：判断是组织过程资产还是事业环境因素，要看是供项目借鉴还是对项目加以制约。 选项C：协议是制定项目章程的输入。公司资源紧张的问题没有记录在内。
"在一个时间紧迫的项目期间，项目经理注意到两名团队成员之间的冲突让项目进度停滞不前。项目经理应该做些什么来恢复工作和管理冲突？During a project with a tight timeline, the project manager observes a conflict between two team members that is halting progress. What should the project manager do to resume work and manage the conflicts?",将这两名团队成员分开以防止冲突影响项目 Separate the team members to prevent the conflicts from impacting the project,请求相关方帮助团队成员达成妥协 Request that stakeholder help the team members reach a compromise,要求双方通过分析情况来解决冲突，并与他们合作找到共同解决方案 Ask Both parties to resolve the conflict by analyzing the situation and collaborate with them on finding a common solution,指示团队成员采取一致观点并继续项目 Direct the team members to take one point of view and proceed with the project,C,PMBOK（6）348-9.5.2.1人际关系与团队技能。对于团队的冲突问题，首先尝试合作/面对/解决问题的冲突管理策略。 选项A：属于缓和策略。 选项B：属于妥协策略。 选项D：属于强迫策略。
一位团队成员注意到多个风险均已过期，该团队成员询问项目经理如何处理这些风险。项目经理应该建议该团队成员做什么？A team member noticed several risks with expired time periods，The team member asks the project manager how these risks should be handle What should the project manager advise the team members to do?,将这些风险从主动跟踪风险中删除，并消除项目中的任何相关意外事件 Remove the risks from active tracking and eliminate any associated contingencies from the project,继续被动地监督风险，直到项目结束为止 Continue to passively monitors the risks until the end of the project,继续审查风险，但减少频率 Continue to review the risks but on a less frequent basis,删除风险减轻任务，以便这项任务可以用于其他潜在风险 Remove the risk mitigation task so that these tasks can be used on other potential risks,A,PMBOK（6）P453-11.7监督风险。在风险审查中，还可以识别出新的单个项目风险（包括已商定应对措施所引发的次生风险），重新评估当前风险，关闭已过时风险，讨论风险发生所引发的问题，以及总结可用于当前项目后续阶段或未来类似项目的经验教训。 选项BCD：风险已经过期，所以无需继续跟踪，关闭即可。
—位项目经理得知，由于持续的罢工，该项目的进口设备尚未被海关放行。项目经理首先应该怎么做？A project manager learns that the project's imported equipment has not been released by customs due to an ongoing strike.What should the project manager do first?,执行定性风险分析 Perform a qualitative risk analysis.,执行定量风险分析 Perform a quantitative risk analysis.,与团队一起审查风险影响 Review the risk impact with the team.,实施风险应对计划 Implement the risk response plan.,C,PMBOK(6)P419 -11.7监督风险。持续罢工是一个已经发生的未知风险，因此需要先确定已发生风险的影响。 其他选项：如果风险未发生，则可以按照AB的顺序来做；D在C 之后，先分析后实施具体的风险应对计划。
"在项目执行过程中，一位关键相关方对项目经理实施一项风险规避策略的大量成本表示担心，项目经理应该告诉相关方什么信息？During project execution, a key stakeholder expresses concern about the significant cost of a risk avoidance strategy being implemented by the project manager.What should the project manager tell the stakeholder?","如果这个风险变为现实，则项目成本可能高于风险规避策略的成本 If the risk is realized, the cost of the project could be higher than the cost of the risk avoidance strategy.","这个风险变成现实的概率很高，因此风险规避成本是必要的 There is a high probability that the risk will be realized and, therefore, the risk avoidance counts are necessary.",这个风险在风险登记册中的优先级和影响均较高 The risk has a high priority and impact on the risk register.,他们将终止风险规避策略，以减少项目开支 They will terminate the risk avoidance strategy to reduce project expense.,C,PMBOK(6)P442- 11.5.2.4威胁应对策略。风险应对措施，规避。适用于发生概率较高，且具有严重负面影响的高优先级威胁。规避策略用于应对概率和影响非常大的风险。选项A：如果这个风险变成了现实，所带来的影响不单是成本方面的，还会涉及到进度等其他方面的影响。选项B：除了发生概率高之外，带来的负面影响大也是重要的原因。选项D：终止风险规避策略会给项目带来更大的风险 ，不可取。
"项目启动大会期间，一位相关方反复尝试向项目添加可交付成果。项目经理首先应该怎么做？During a project kick-off meeting, a stakeholder repeatedly tries to add deliverables to the project. What should the project manager do first?",请该相关方查阅项目范围管理计划 Ask the stakeholder to refer to the scope management plan,将该相关方包含进沟通管理计划 Include the stakeholder in the communication management plan,要求该相关方查阅项目工作说明书(SOW) Request that the stakeholder refer to project statement of work (SOW),请该相关方查看变更管理流程 Refer the stakeholders ask to the change management process,D,"PMBOK(6)4.6 实施整体变更控制 已经在开”Kick-off meeting"" ，表明计划已经确定了，“添加可交付成果“ 需要走变更流程，选D 其他选项：ABC都不是变更流程"
"收到项目发起人批准项目章程后，项目经理安排召开项目启动大会，但是，七位关键相关方中有四位没有参加这次会议，项目经理应该怎么做？After project sponsor approves for the project charter, the project manager schedules a kick-off meeting. However, four out of seven key stakeholders do not attend this meeting. What should the project manager do?",告知这些相关方的经理已经召开该会议 Inform the stakeholders’managers that the meeting has taken place,组织发起人与四个缺席的相关方开会，以讨论该项目 Ask sponsors to meet with the four absent stakeholders to discuss the project,"向所有相关方提供项目计划、范围和风险 Provide the project plans, scope and risks to all stakeholders",计划向缺席的相关方更新项目进度报告 Plan to update the absent stakeholders with project progress reports,C,PMBOK(6)P528- 13.3.2.5会议 七个相关方四个没有来，其实最好的方式是重新召开启动大会。不过选项里面没有，排除法选C更合适一些。 A没有什么作用，B应该项目经理去找他们开会，而不是让发起人与他们开会。D仅提供进度信息意义不大。
"在一个季度末,项目发起人要求进度报告中包含一个指标,以确定项目是否将按时完成或将延迟多长时间。项目经理应该在这份报告中包含哪个指标?At the end of the quarter,a project sponsor requests that the progress report include a metric to determine if the project will be finished on time or how long it will be delay.What should the project manager include in this report?",成本绩效指数(CPI) Cost performance index(CPI).,完工偏差(VAC) Variance at completion(VAC).,进度偏差(SV) Schedule variance(SV).,完工估算(EAC) Estimate at completion(EAC).,C,"PMBOK(6)P222-6.6 控制进度。SV可以判断进度是还是延迟。SV>1,提前；SV=1，准时完成；SV<1,落后。通过偏差分析对进度进行综合分析，以了解项目的进度偏差情况，这样就便于采取合适的预防或纠正措施。其他选项：ABD都是成本相关，与进度无关。"
"项目经理已经在一个项目上工作了三个月，该项目是关于在公司的网站上发布了一个新功能，然而，一位关键相关方感到不满，因为可交付成果未能满足他们的期望。 项目经理应该参考什么文件？A project manager has been working for three months on a project to launch a new functionality in a company’s website.However,a key stakeholder is dissatisfied because the deliverable fails to meet their expectations. What document should the project manager consult?",范围管理计划 Scope management plan,项目范围说明书 Project scope statement,需求跟踪矩阵 Requirements tractability matrix,需求文件 Requirements documentation,C,PMBOK（6）P148 5.2.3.2需求跟踪矩阵。需求跟踪矩阵，将相关方和可交付成果连接起来，因此题干中提到了相关方与需求的联系，所以选C 其他选项：ABD都没有将相关方联系起来进行跟踪
"你作为Scrum主管，观察到一位高级主管对项目及其进度有太多问题，导致多个团队成员花费大量时间进行回答。你下一步应该做什么？You, as a Scrum Master have observed that there are too many questions about the project and its progress, coming from one of the senior executives, causing multiple team members spending considerable time to answer. What should be your next step?",请团队成员把所有咨询转交给Scrum主管答复 Ask the team members to divert all his queries to the Scrum Master,告诉团队，未经你的许可，不回答任何问题 Tell the team that no question will be answered without your permission,与高级主管沟通，明确告诉他，他将来能够从信息发射源那里了解项目状态，不要再打扰任何团队成员 Talk to the senior executive and clearly tell that in the future he should be able to understand the project status from the information radiators and must not bother anyone,向高级主管解释敏捷工作方式，并请他向Scrum主管咨询所有问题 Explain to the senior executive about agile ways of working and ask him to address all the questions to the Scrum Master,D,关键词：导致多个成员花费大量时间进行回答。参见《敏捷实践指南》P41 团队促进者角色的描述。Scrum主管是仆人式领导，其负责消除障碍促进富有成效的事件并保护团队免受干扰。高级主管的过多关注已经给团队造成负面影响，Scrum主管应及时消除这个障碍。D正确。A选项，咨询转交还是会占用团队成员的时间，不选。B选项和C选项，一个是未经许可不回答问题，一个是明确告诉他不要打扰，这两种说法都不太合适，不是面对领导应有的态度。D选项，Scrum主管直接向高级主管解释是最合适的选择。
"在采购过程评审期间，项目经理发现，自项目启动以来，实施成本增加了6%，为了减少项目工作来满足预算，批准了一项变更请求。 项目经理应更新哪一个项目管理计划要素？During the procurement process review, the project manager finds that the implementation cost has increased by 6% since the project is launched, and a change request is approved to reduce the project task to meet the budget. Which project management plan element should the project manager update?",采购管理计划 Procurement Management Plan,变更管理计划 Change Management Plan,范围管理计划 Scope Management Plan,风险管理计划 Risk Management Plan,A,PMBOK(6)P500-12.3.3.5 项目管理计划更新 采购管理计划。12.3 控制采购的输出 采购管理计划包含在采购过程中需要开展的活动。可能需要基于卖方执行工作的绩效情况，对采购管理计划进行更新。卖方绩效变差，提出变更以后，更新采购管理计划。 其他选项：BC不是输出，D题目没有提到风险。
"在一个项目接近完工时，发起人要求承包商改变已安装的照明以符合新标准。承包商应该怎么做？As a project nears completion,the sponsor asks the contractor to change the installed lighting to comply with a new standard.What should the contractor do?",审查工作并提交一份显示工作已完成的报告 Review the work and submit a report showing that work is already complete.,请求延长工期并提交变更请求以完成工作 Request a schedule extension and submit a change request to complete the work.,与发起人一起检查新规定，然后提交变更请求 Examine the new regulation with the sponsor and then submit a change request.,评估成本和进度影响，然后向项目经理提交变更请求 Evaluate the cost and schedule impact and then submit a change request to the project manager.,C,PMBOK（6）P113-4.6实施整体变更控制。 选项A：接近完工但是未完成。 选项B：是否延长工期由整体变更控制流程决策。 选项D：没有评估对范围基准的影响。
"一位关键团队成员犯了一个严重错误，将导致项目严重延迟。按照相关方参与计划，项目经理与相关方开会讨论此问题。在会议上，项目经理应该提供什么信息？A key team member makes a critical mistake that will result in a significant project delay.In accordance with the stakeholders engagement plan, The project manager meets with stakeholders to discuss this issue. What information should the project manager present during the meeting?",团队的培训计划，以避免类似错误 Training plan for the team to avoid similar mistakes,说明防止类似问题发生的新规定 Description of new provisions to prevent similar issue from occurring,修改范围以保持项目进度计划的方案 Options for amending the scope to maintain the project schedule,"根本原因分析，解释错误发生的原因 Root cause analysis, explaining why the mistake occurred",A,PMBOK（6）P342-9.4.2.6培训。项目经理应该按资源管理计划中的安排来实施预定的培训，也应该根据管理项目团队过程中的观察、交谈和项目，有效评估的结果，来开展必要的计划外培训。 选项B：规定不能解决人的技能短板。 选项C：人的问题没有解决，因为人的技能短板而调整范围本末倒置。 选项D：问题发生，项目经理跟相关方开会，相关方更加关注的是问题的解决方案而不是出现这个问题的原因，因此选择A
项目团队正通过估算每个工作包来制定项目预算。团队使用过往项目的统计值和历史数据。这使用的是什么估算工具或技术？A project team is developing a project budget by estimating each work package.The team uses statistical values and historical data from past projects. What estimating tool or technique is being used?,储备分析 Reserve analysis,类比估算 Analogous estimating,专家判断 Expert judgment,参数估算 Parametric estimating,D,PMBOK(6)P244- 7.2.2.3参数估算 参数估算是指利用历史数据之间的统计关系和其他变量（如建筑施工中的平方英尺），来进行项目工作的成本估算 历史数据、统计关系，书上的原话
在初始项目会议期间，有权做出重要项目决策的关键相关方无法参加，若要避免潜在的项目交付风险，项目经理应该怎么做？Key stakeholders with the authority to make important project decisions were unavailable during initial project meeting. What should the project manager do to avoid potential risk to project delivery?,将关键相关方集合在一起，以澄清业务需求 Assemble key stakeholders to gain clarify on business requirements,与项目发起人开会，以获得对项目目标的批准 Meet with the project sponsor to obtain approval of the project objectives,将会议纪要发送给关键相关方 Send the meeting minutes to key stakeholders,与项目发起人一起审查相关方参与计划 Review the stakeholder engagement plans with the project sponsors,C,PMBOK(6)P80- 4.1.2.4会议 看英文“initial project meeting“。初始会议，启动阶段，”关键相关方无法参加“，因为这个相关方有决策权，且确定不能参会，所以只有C最合适。 其他选项：A，相关方已经确定不能参会了，B，不参会的相关方有决策权，只要发起人不合适。D，启动阶段还没有相关方参与计划。
"项目经理正在与团队讨论，在每个增量中为客户提供可行的产品。他们同意产品的核心价值必须符合客户的期望。根据项目要求的基本价值，你决定讨论可以实现或建立的产品价值的最低限度。团队将要创建什么内容?The project manager is discussing with the team about delivering a viable product for the customer in each increment. They agree that the core value must be in line with customer expectation. Based on the essential value requested by the project, you are deciding to discuss what the bare minimum of the value of the product is that can be realized or established. What is the team about to create?",最小可行产品 Minimum Viable Product,完成交付物 Completed deliverable,产品路线图 Product roadmap,最小业务增量 Minimum Business Increment,A,敏捷实践指南，P23最小可行产品：通过识别可交付价值的最少数量的特性或需求，用来定义向客户首次发布解决方案的范围。题干中的关键字是建立的产品价值的最低限度，即最小可行产品（MVP）。选项B：可交付物是为完成某一过程、阶段或项目而必须产出的任何独特并可核实的产品、结果或服务能力。选项C：产品路线图是敏捷发布规划的术语，产品愿景驱动产品路线图，产品路线图驱动发布计划选项D：敏捷中没有这个术语。
如果你与多个Scrum团队一起处理项目，那么处理产品待办列表的最好方法是什么？What is the best approach in handling the Product Backlog if you are working on the project with multiple Scrum teams?,为每个团队创建不同内容的产品待办列表 Create component-specific Product Backlogs for each team,"使用同一个产品待办列表，扩展整理范围，并考虑在待办事项列表中提供不同团队的视图 Employ one Product Backlog, extend the grooming horizon, and consider providing team-specific views into the backlog",偏好组件团队而非特性团队，并为每个团队设置单独的空白产品待办事项列表 Prefer component teams to feature teams and empty separate Product Backlog for each team,"没有最好的方法，以上任何一个都可以 There is no best approach, it is possible to go with any of them",B,《敏捷实践指南》，A3.12.大规模敏捷开发 (LeSS)，表A3-6，P113。题干中的关键句是“多个Scrum团队一起处理项目”。选项A和选项C均错误。它们都强调了要为每个Scrum团队创建不同的产品待办事项列表，这违反了大规模敏捷（LeSS）框架的核心组织原则，可能会造成不必要的混乱或复杂性，因此排除。选项B正确，大规模敏捷（LeSS）框架的核心组织原则是尽可能保留传统单个团队 Scrum 模型的元素。这将有助于减少任何模型扩展，避免造成不必要的混乱或复杂性。根据表A3-6，Less与Scrum的相似性中，第一条就是“一个产品待办事项列表”。与题干描述相符。选项D错误，选项A和选项C违反了LeSS框架的核心组织原则，不能使用这两种方法，因此排除。
项目经理在收尾一个项目时遇到问题，因为相关方不接受项目章程中描述的大部分可交付成果，项目经理应该做什么？A project manager is having problems closing a project because the stakeholders did not accept the majority of the deliverables described in the project charter. What should the project manager do?,更新项目章程 update the project charter,提交变更请求 Submit a change request,更新范围管理计划 Update the scope management plan,核实范围 Validate the scope,D,PMBOK（6）P163-5.5确认范围。项目的交付成果要获得正式验收，在通过验收后，进行移交程序。 选项A：项目的范围基准不在项目章程中，项目章程记录的是宏观需求，要在收集需求阶段进一步的细化。 选项B：先评估，如有必要，提交变更请求，在选项D之后。 选项C：如有必要，再对范围管理计划进行更新，同样依赖于选项D的评估结果。
"在一个项目的最终收尾活动期间，项目经理发现项目章程包含的原始项目范围比最终项目范围的成本低，项目经理应如何处理这项信息？During final closeout activities for a project,the project manager identifies that project charter contains an original project scope that is less costly than the final project scope.What should the project manager do with this information?",在项目报告中记录原始和最终范围 Document the original and final scopes in the project report.,更改项目章程以反映本文件创建后所做的所有变更 Change the project charter to reflect all changes made since the creation of this document.,核实项目管理计划是否已更新 Verify whether the project management plan has been update,"审查变更请求，且如果没有包含必要的信息，则更新该变更请求 Review the change request and,if it docs not contain the necessary information ,update it.",A,PMBOK（6）P127-4.3.3.3 最终报告。最终报告中记录了范围目标、范围的评估标准，以及证明达到完工标准的证据。 选项B：项目章程不是项目的基准之一。 选项CD：收尾阶段，已经通过验收，项目的范围已实现。暴露出来的问题记录进最终报告。
一名新项目经理加入一个正在执行中的项目。该项目经理不清楚哪些环境因素可能影响向关键相关方进行有效的信息报告。 项目经理应该查阅下列哪份文件来了解这些影响？A new project manager joins a project in progress. The project manager is unclear about what environmental factors may impact effective information reporting to key stakeholders. What should the project manager referent to understand these impacts?,沟通管理计划 Communications management plan,相关方参与计划 Stakeholder engagement plan,采购管理计划 Procurement management plan,风险管理计划 Risk management plan,B,PMBOK(6)P368-10.1.1.2 项目管理计划-相关方参与计划。 哪些环境因素影响了项目信息，说明是规划沟通的输入，规划沟通的输入是相关方参与计划。 其他选项：A，主要看题干描述重点不是沟通，而沟通的影响因素。
"一个制作新产品的大型敏捷项目已经启动，几个团队正在同时开展新功能和增强功能方面的工作。项目经理面临严重的扩展挑战,以确保不同功能的创建与协作,若要解决这种情况,项目经理应该做什么？A large-scale agile project has been kicked off to build a new project. Several teams are working simultaneously on new and enhanced features. The project manager faces major scaling challenges to ensure that the different features are created and work in harmony. What should the project manager do to address this?",通过大量协作工作进行交付 Deliver through a large sprint of collaborative work.,"使用相同的团队进行开发、集成和测试 Use the same team foe development, integration, and testing.",将工作划分为多个版本 Drive the work across multiple releases.,执行充分的前期规划以管理依赖关系 Perform sufficient up-front planning to manage interdependence.,C,敏捷实践 使用产品列表、产品增量来将工作划分为多个版本。 其他选项：ABD还不是敏捷思维。
"在项目完成执行阶段后，一位相关方意识到忽略了一个重要功能，该相关方向项目经理提供详细的理由，说明为什么这项变更对业务至关重要。项目正处于哪个过程？After the project completes the execution stage, a stakeholder realizes that an important feature was overlooked，the stakeholder provides the project manager with a detailed justification for why this change is critical to the business. In what process is the project ?",控制范围 Control scope,监控项目工作 Monitor and Control project work,核实范围 Validate scope,实施整体变更控制 Perform Integrated change control,D,PMBOK(6)4.6 实施整体变更控制。“提供详细理由”“说明变更重要性”，实际上是在提出变更请求， 是相关方发现了功能缺失，需要变更范围，并且提出变更。项目处于实施整体变更控制过程。 其他选项：A，控制范围是项目经理确保范围在范围基准内实施，而相关方提出变更属于实施整体变更控制。BC都还未提出变更。
"在错过第二个项目里程碑后，项目经理进行了调查以确定原因。结果显示任务分布不均，大部分工作量由一个小组执行，主要是因为他们经验丰富且熟悉流程。若要解决这个问题，项目经理首先应该做什么？After the second project milestone was missed, the project manager performed an investigation to determine the reason. The outcome revealed that takes were uneven distribution ,The bulk of the workload was performed by a small ground, mainly because they were experienced and familiar with the process. To address this, what should the project manager do first?",要求运营和职能经理根据所需的技能和知识水平重新分配项目人员 Ask the operational and functional managers to reassign project resource based on required levels of skill and knowledge,查看工作分解结构(WBS)上的任务，并在团队成员之间更均匀地重新分配职责 Review the tasks on the work breakdown structure (WBS) and reallocate responsibilities more evenly among team members,"评估每个团队成员的经验和专业知识，以确定过程改造、培训要求和指导技术，帮助缩小团队内部的知识差距 Assess the experience and expertise of each team member to identify process improvements, training requirements, and mentoring techniques that will help close the knowledge gap within the team",与相应的相关方和职能经理开会，了解项目人员配置时的初步决策，包括所使用的基本原理和标准 Meet with appropriates stakeholders and functional managers to understand the initial decisions made when staffing the project including the rationale and criteria used,C,PMBOK（6）P342-9.4.2.6培训。项目经理应该按资源管理计划中的安排来实施预定的培训，也应该根据管理项目团队过程中的观察、交谈和项目绩效评估的结果，来开展必要的计划外培训。 选项A：项目团队的培训由项目经理负责。 选项B：问题看似是由于资源过度分配导致的，但是核心原因在于能力差异过大。 选项D：制定人员配备管理计划，在建设团队之前。
"项目经理正在为客户管理一个跨国项目，拟采用最新技术替换其电信基础设备。项目经理得知，在某些国家，必须遵循特定的环境规定来处置被替换的硬件。在制定商业论证时，未考虑到这些规定，项目经理应该怎么做？A project manager is leading a multinational project for a customer to replace its telecommunications infrastructure with the latest technology. The project manager learns that, in some countries, specific environmental regulations must be followed to dispose of the replaced hardware. In the development of business arguments these rules have not be consider. What should the project manager do?",更新商业论证以包含硬件处置成本 Update the business case to include the cost of the hardware disposal.,建议发起人将遵守这项规定的成本纳入商业论证 Recommend the sponsor to incorporate the cost of complying with this provision into the business case.,提出一个包含遵守环境法规成本的实施策略 Propose an implementation strategy that includes compliance with environmental regulations.,根据业务需求识别主要可交付成果，以管理客户期望并遵守该规定 Identify key deliverables based on business needs to manage customer expectations and comply with this requirement.,B,PMBOK（6）P30-1.2.6.1项目商业论证。项目商业论证指文档化的经济可行性报告，用来对尚缺乏充分定义的所选方案的收益进行有效论证。新了解到的信息要重新进行商业论证，用来论证项目的可行性。 选项AC：要评估环境规定带来的影响，而不是简单的把成本加进去。 选项D：问题聚焦在新规定对商业论证的影响，而不是管理相关方期望。
"项目经理进行了风险分析,以供项目集经理审查。项目集经理改变了风险项目的优先级,现在该项目正在经历严重延期。 项目经理应该做什么?A project manager conducted a risk analysis for the program manager.The program manager changed the priority of risk items,and now the project is experiencing significant delays. What should be the project manager do?","与团队合作,以便进度计划恢复正常 Work with the team to bring the schedule back on track.","接受延期,并将其记录在项目管理报告中 Accept the delays and document it in the project management report.",将问题升级上报给项目发起人 Escalate it to the project sponsor.,将该延期更新到问题日志中 Update the issue log with the delay.,C,PMBOK(6)P442- 11.5.2.4威胁应对策略。风险应对措施，上报。书上说：对于被上报的威胁，组织中的相关人员必须愿意承担应对责任，这一点非常重要。因为项目集经理改变的优先级，因此应该由项目集经理承担风险应对的责任，项目经理发现了问题，上报即可。
"供应商建议项目经理,为了满足要求的规格,需要更换特定材料。为确保成本基准不受影响,项目经理应该审查下列哪一项?A supplier activates the project manager that,to meet the requested specifications,replacement of a specific material is required,What should the project manager to ensure that the cost baseline is unaffected?",管理储备 Management reserve.,应急储备 Contingency reserve.,成本预测 Cost forecast.,挣值(EV)分析 Earned value(EV)analysis.,D,PMBOK(6)P264- 7.4.2.2数据分析-挣值分析。 要变更材料，先分析影响，然后再考虑其他措施，因此选D，挣值分析，确定成本绩效与基准是否一致 其他选项：A管理储备会动用基准，B在D的后面。C成本预测是输出。
"项目中的每日站会已被证明是能解决问题和掌握进展的会议。你的团队决定在每日站会期间讨论问题，但15分钟例会时长已不够用。谁以后必须参加每日站会？The daily Scrum in your project has turned out to be a problem-solving activity and a status meeting. Your team decided to talk about problems during the daily Scrum, and the 15- minutes time slot is no longer viable. Going forward, who must attend this meeting?","Scrum主管、产品负责人和开发团队。 The scrum master, the product owner, and the development team.",只有开发团队和Scrum主管。 The development team and the scrum master only.,仅开发团队和产品负责人。 The development team and the product owner only.,开发团队，Scrum主管可选择参加。 The development team with the scrum master as an optional attendee.,D,敏捷实践指南，P53根据敏捷实践指南以及Scrum指南的描述，在理想状态下从站会的效果出发，站会PO、SM以及开发团队都是需要参加的。但是针对这道题目的场景，我们需要考虑的不单是每日站会的参加者这个点，还需要结合敏捷团队自组织以及SM的作用来综合考虑。题干中每日站会即将变成讨论问题的会议，且时间越来越长。首先基于敏捷团队自组织的特性，出现这个问题，首先开发团队必须要自组织解决，所以他们是必须参加的。而按照SM的职责，他有责任指导团队正确践行敏捷实践，即帮助团队正确的开站会。所以在开发团队组织召开站会的时候，SM可以加入进去引导大家。所以这道题目选择D。
"项目经理将一个大型项目划分为三个区域,并为每个区域分配一个区域协调员。远程站点的一个协调员报告说,由于难以找到技术熟练的资源,他们产生了高额成本。 项目经理应该做什么?A project manager divided a large project into three regions,with a regional coordinator assigned to each one.One coordinator at a remote site reports they are incurring high costs because skilled resources are difficult to fin What should the project manager do?",进行成本效益分析 Conduct a cost-benefit analysis.,估算外包远程站点任务的成本 Estimate the cost of outsourcing the remote site's tasks.,分析增加的成本对总体预算的影响 Analyze the effect of the increased costs on the overall budget.,执行挣值分析(EVA) Perform an earned value analysis(EVA).,C,PMBOK(6)P257-7.4 控制成本。遇到问题，先分析影响。 其他选项：A不是控制成本的工具。B在后面。C包含了D，分析影响包括挣值分析、偏差分析、趋势分析等。
一个在实施中的项目对公司的成功至关重要，项目总监不相信该项目将按时交付，项目经理应该怎么做？A project in implementation is critical to a company’s success. The project director is unconvinced that the project will be delivered on time. What should the project manager do?,审查相关方参与评估矩阵，并更新风险登记册 Review the stakeholders engagement assessment matrix and update the risk register,与项目总监开会，提供基准数据并解决问题 Meet with the project director to provide benchmark data and address concerns,制定相关方参与计划，定期提供项目更新并鼓励反馈 Develop a stakeholders engagement plan that provides regular project updates and encourages,修改风险登记册，以应对未能达到项目总监期望的风险 Amend the risk register to address the risks of failing to meet the project director's expectations,C,PMBOK(6)P516-13.2 规划相关方参与。规划相关方参与是根据相关方的需求、期望、利益和对项目的潜在影响，制定项目相关方参与项目的方法的过程。题干表现出相关方对项目的进度存在质疑，通常这种情况是因为相关方对项目的情况信息获取存在问题，很有可能相关方没有积极参与进来，所以这种情况最佳实践是指定相关方参与计划，定期与相关方更新反馈。其他选项：A没有C全面，还是要制定相关方参与策略。B只是策略的一种。D未明确是不是风险问题。
—名新成员加入团队，该团队的报告结构发生多次变更。若要快速使这位新团队成员适应，项目经理应该查阅哪一份文件？A new member joins the team and the team's reporting structure has changed for several times. Which document should the project manager review to quickly get the new team member adapted?,项目组织图 Project Organization Chart,层级资源图 Hierarchical Resources Map,责任分配矩阵(RAM) Responsibility Assignment Matrix (RAM),资源管理计划 Resources Control Plan,A,PMBOK(6)P319- 9.1.3.1资源管理计划-项目组织图。项目组织图以图形方式展示项目团队成员及其报告关系。题干中明确提到了报告结构，因此，选择项目组织图更准确。 其他选项：B不存在，C只确认了角色与职责的关系。D资源管理计划虽然包括了项目组织图，但是项目组织图明显更加准确。
